,,Pressure (bar),Temperature (°C),XCO2,mNaCl (mol/Kg),,,,
,,200,60,0.0191,0.513347022587269,,,,
Bamberger2000,,40.5,50,0.0109,0,,,,
,,50.6,50,0.0137,0,,,,
,,60.6,50,0.0161,0,,,,
,,70.8,50,0.0176,0,,,,
,,80.8,50,0.019,0,,,,
,,90.9,50,0.02,0,,,,
,,100.9,50,0.0205,0,,,,
,,111,50,0.021,0,,,,
,,121,50,0.0214,0,,,,
,,141.1,50,0.0217,0,,,,
,,40.5,60,0.0096,0,,,,
,,50.6,60,0.0121,0,,,,
,,60.6,60,0.0138,0,,,,
,,70.8,60,0.0157,0,,,,
,,80.8,60,0.0166,0,,,,
,,90.9,60,0.0179,0,,,,
,,100.9,60,0.0186,0,,,,
,,111,60,0.0195,0,,,,
,,121,60,0.0201,0,,,,
,,141.1,60,0.0208,0,,,,
,,40.5,80,0.008,0,,,,
,,60.6,80,0.0114,0,,,,
,,70.8,80,0.0128,0,,,,
,,80.8,80,0.014,0,,,,
,,90.9,80,0.0151,0,,,,
,,100.9,80,0.016,0,,,,
,,111,80,0.0172,0,,,,
,,121,80,0.0176,0,,,,
,,131,80,0.0184,0,,,,
Takenouchi and Kennedy1964,,100,150,0.0135,0,,,,
,,200,150,0.0215,0,,,,
,,300,150,0.026,0,,,,
,,400,150,0.029,0,,,,
,,500,150,0.032,0,,,,
,,600,150,0.0345,0,,,,
,,700,150,0.037,0,,,,
,,800,150,0.039,0,,,,
,,900,150,0.0405,0,,,,
,,1000,150,0.042,0,,,,
,,1100,150,0.044,0,,,,
,,1200,150,0.045,0,,,,
,,1300,150,0.046,0,,,,
,,1400,150,0.047,0,,,,
,,1500,150,0.048,0,,,,
,,100,200,0.013,0,,,,
,,200,200,0.026,0,,,,
,,300,200,0.034,0,,,,
,,400,200,0.041,0,,,,
,,500,200,0.047,0,,,,
,,600,200,0.052,0,,,,
,,700,200,0.056,0,,,,
,,800,200,0.058,0,,,,
,,900,200,0.061,0,,,,
,,1000,200,0.063,0,,,,
,,1100,200,0.065,0,,,,
,,1200,200,0.067,0,,,,
,,1300,200,0.069,0,,,,
,,1400,200,0.07,0,,,,
